company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
CSFROOFING LTD,,Flat Roof,,,5,6,,ID Checked; Public Liability Insurance,,,2023,https://www.myjobquote.co.uk/t/csfroofing-ltd,myjobquote
MBs building services,,Flat Roof,,,5,4,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/mbs-building-services,myjobquote
London Town Roofing,,Flat Roof,,,5,8,,ID Checked,,,1987,https://www.myjobquote.co.uk/t/london-town-roofing,myjobquote
Berkeley Roofing and Building,,Flat Roof,,,5,8,,ID Checked,,,2000,https://www.myjobquote.co.uk/t/berkeley-roofing-and-building-1,myjobquote
Executive roofing and building services,,Flat Roof,,,5,7,,ID Checked,,,Feb 2025,https://www.myjobquote.co.uk/t/executive-roofing-and-building-services,myjobquote
to repair and installation,,Flat Roof,,,5,6,07418367597,ID Checked,,,2025,https://www.myjobquote.co.uk/t/to-repair-and-installation,myjobquote
Fox CONTRACTS,,Flat Roof,,,4,6,07418317065,ID Checked,,,1982,https://www.myjobquote.co.uk/t/fox-contracts,myjobquote
Hoodrich Roofing,,Flat Roof,,,5,5,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/hoodrich-roofing,myjobquote
Hybrid Roofing,,Flat Roof,,,5,4,,ID Checked; Public Liability Insurance,,,Aug 2025,https://www.myjobquote.co.uk/t/hybrid-roofing,myjobquote
SD Roofing & Building Ltd,,Flat Roof,,,5,4,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/sd-roofing-building-ltd-1,myjobquote
Roof MOT Limited,,Flat Roof,,,4,4,,ID Checked,,,1955,https://www.myjobquote.co.uk/t/roof-mot-limited,myjobquote
Goldstar roofing uk Ltd,,Flat Roof,,,5,3,,ID Checked,,,1987,https://www.myjobquote.co.uk/t/goldstar-roofing-uk-ltd,myjobquote
Low cost roofing ltd,,Flat Roof,,,5,2,,ID Checked,,,Jun 2019,https://www.myjobquote.co.uk/t/low-cost-roofing-ltd,myjobquote
heritage roof and build,,Flat Roof,,,5,1,,ID Checked,,,2026,https://www.myjobquote.co.uk/t/heritage-roof-and-build,myjobquote
Nuaj construction,,Flat Roof,,,5,38,07418341696,ID Checked,,,2022,https://www.myjobquote.co.uk/t/nuaj-construction,myjobquote
Shooter’s Hill roofing & building,,Flat Roof,,,4,4,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/shooters-hill-roofing-building,myjobquote
DC Roofing and Property Maintenance,,Flat Roof,,,5,2,,ID Checked,,,Jan 2026,https://www.myjobquote.co.uk/t/dc-roofing-and-property-maintenance-2,myjobquote
Holbrook roofing & building ltd,,Flat Roof,,,5,2,,ID Checked,,,1984,https://www.myjobquote.co.uk/t/holbrook-roofing-building-ltd,myjobquote
Quality Roofing and Guttering Ltd,,Flat Roof,,,4,2,,ID Checked; Public Liability Insurance,,,2002,https://www.myjobquote.co.uk/t/quality-roofing-and-guttering-ltd,myjobquote
Haki Roofing,,Flat Roof,,,5,1,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/haki-roofing,myjobquote
BROMLEY ROOFER LTD,,Flat Roof,,,5,2,07418360547,ID Checked,,,,https://www.myjobquote.co.uk/t/bromley-roofer-ltd,myjobquote
