company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
TeamFix Handyman service,,Wooden Decking,,,4,1,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/teamfix-handyman-service,myjobquote
CJB Property Maintenance,,Wooden Decking,,,4,10,,ID Checked,,,2000,https://www.myjobquote.co.uk/t/cjb-property-maintenance,myjobquote
Jozsef Gomboci,,Wooden Decking,,,5,1,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/jozsef-gomboci-1,myjobquote
MG Gardening & Landscaping,,Wooden Decking,,,5,40,07451286745,ID Checked,,,2015,https://www.myjobquote.co.uk/t/mg-gardening-landscaping,myjobquote
ManjLandscapes Ltd,,Wooden Decking,,,5,22,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/manjlandscapes-ltd,myjobquote
Ed & Bela Garden Services,,Wooden Decking,,,4,10,,ID Checked,,,Aug 2019,https://www.myjobquote.co.uk/t/ed-bela-garden-services,myjobquote
OGD Gardening,,Wooden Decking,,,5,10,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/ogd-gardening,myjobquote
Benjamin Landscapes,,Wooden Decking,,,5,9,,ID Checked,,,Nov 2022,https://www.myjobquote.co.uk/t/benjamin-landscapes,myjobquote
W A Services,,Wooden Decking,,,5,6,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/w-a-services,myjobquote
Buffalo Gardening,,Wooden Decking,,,5,5,,ID Checked,,,Feb 2026,https://www.myjobquote.co.uk/t/buffalo-gardening,myjobquote
DD Building Services,,Wooden Decking,,,5,2,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/dd-building-services-2,myjobquote
Noka Landscaping & Driveways Services,,Wooden Decking,,,5,1,07451260815,ID Checked,,,2019,https://www.myjobquote.co.uk/t/noka-landscaping-driveways-services,myjobquote
Brownes Property Improvements,,Wooden Decking,,,5,1,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/brownes-property-improvements,myjobquote
2020 fencing and landscapes,,Wooden Decking,,,5,8,,ID Checked,,,Oct 2021,https://www.myjobquote.co.uk/t/2020-fencing-and-landscapes,myjobquote
WP Landscapes,,Wooden Decking,,,5,3,,ID Checked,,,2021,https://www.myjobquote.co.uk/t/wp-landscapes-2,myjobquote
Thegardenwow Limited,,Wooden Decking,,,5,3,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/thegardenwow-limited,myjobquote
Adrian Gardens,,Wooden Decking,,,4,8,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/adrian-gardens,myjobquote
Jrlandsons ltd,,Wooden Decking,,,5,3,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/jrlandsons-ltd,myjobquote
Ovidiu Borzos,,Wooden Decking,,,5,64,07418347483,ID Checked,,,1900,https://www.myjobquote.co.uk/t/ovidiu-borzos,myjobquote
UTOS Group Limited,,Wooden Decking,,,5,22,,ID Checked,,,2011,https://www.myjobquote.co.uk/t/utos-group-limited,myjobquote
Town and District Landscapes,,Wooden Decking,,,4.9,19,,ID Checked,,,1986,https://www.myjobquote.co.uk/t/town-and-district-landscapes,myjobquote
Regency Quality Building Services /Handyperson Services,,Wooden Decking,,,5,8,,ID Checked,,,1990,https://www.myjobquote.co.uk/t/regency-quality-building-services-handyperson-services,myjobquote
Greenscapes Gardens Ltd,,Wooden Decking,,,5,4,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/greenscapes-gardens-ltd,myjobquote
CS Trees,,Wooden Decking,,,5,4,07418317461,ID Checked,,,2019,https://www.myjobquote.co.uk/t/cs-trees,myjobquote
JQMD LTD,,Wooden Decking,,,5,3,,ID Checked; Public Liability Insurance,,,Jan 2026,https://www.myjobquote.co.uk/t/jqmd-ltd,myjobquote
Tobias jessup,,Wooden Decking,,,5,1,,ID Checked,,,Aug 2025,https://www.myjobquote.co.uk/t/tobias-jessup,myjobquote
Pm gardens,,Wooden Decking,,,5,1,,ID Checked,,,Feb 2025,https://www.myjobquote.co.uk/t/pm-gardens-1,myjobquote
Jones handy service&#039;s,,Wooden Decking,,,5,1,,ID Checked,,,Mar 2026,https://www.myjobquote.co.uk/t/jones-handy-services,myjobquote
Calin,,Wooden Decking,,,5,10,,ID Checked; Public Liability Insurance,,,2014,https://www.myjobquote.co.uk/t/calin-5,myjobquote
Access Home Improvements,,Wooden Decking,,,5,4,,ID Checked,,,Mar 2025,https://www.myjobquote.co.uk/t/access-home-improvements,myjobquote
Johnroofing ltd,,Wooden Decking,,,5,1,07451261256,ID Checked,,,2005,https://www.myjobquote.co.uk/t/johnroofing-ltd,myjobquote
Surrey London Builds LTD,,Wooden Decking,,,5,1,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/surrey-london-builds-ltd-1,myjobquote
EagleEye,,Wooden Decking,,,5,6,,ID Checked,,,Aug 2025,https://www.myjobquote.co.uk/t/eagleeye,myjobquote
Task plan development ltd,,Wooden Decking,,,5,2,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/task-plan-development-ltd,myjobquote
OX Construction,,Wooden Decking,,,5,2,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/ox-construction-1,myjobquote
Sharpz,,Wooden Decking,,,5,1,,ID Checked,,,Nov 2024,https://www.myjobquote.co.uk/t/sharpz,myjobquote
J.c.s landscaping & building ltd,,Wooden Decking,,,5,1,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/jcs-landscaping-building-ltd,myjobquote
Active home improvements,,Wooden Decking,,,5,1,,ID Checked,,,Jul 2024,https://www.myjobquote.co.uk/t/active-home-improvements,myjobquote
T&J Fencing,,Wooden Decking,,,5,1,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/tj-fencing-2,myjobquote
Unified Landscapes,,Wooden Decking,,,5,1,,ID Checked; Public Liability Insurance,,,2022,https://www.myjobquote.co.uk/t/unified-landscapes,myjobquote
GHEORGHITA LTD,,Wooden Decking,,,4.8,19,,ID Checked,,,2013,https://www.myjobquote.co.uk/t/gheorghita-ltd,myjobquote
ESM AGENCY LTD,,Wooden Decking,,,5,3,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/esm-agency-ltd,myjobquote
MER Solutions,,Wooden Decking,,,5,1,,ID Checked; Public Liability Insurance,,,2025,https://www.myjobquote.co.uk/t/mer-solutions,myjobquote
TLC Maintenance,,Wooden Decking,,,5,2,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/tlc-maintenance-2,myjobquote
GreenFeat Gardening,,Wooden Decking,,,5,15,,ID Checked,,,2000,https://www.myjobquote.co.uk/t/greenfeat-gardening,myjobquote
Our beautiful gardens,,Wooden Decking,,,5,2,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/our-beautiful-gardens,myjobquote
Gazza&#039;s handyman & gardening services,,Wooden Decking,,,5,6,,ID Checked,,,Jul 2024,https://www.myjobquote.co.uk/t/gazzas-handyman-gardening-services,myjobquote
Garys gardens,,Wooden Decking,,,5,1,,ID Checked,,,Jun 2025,https://www.myjobquote.co.uk/t/garys-gardens-1,myjobquote
Rainbow group,,Wooden Decking,,,5,2,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/rainbow-group-1,myjobquote
Gardening,,Wooden Decking,,,5,1,,ID Checked,,,Oct 2025,https://www.myjobquote.co.uk/t/gardening-25,myjobquote
Rain Gardens,,Wooden Decking,,,5,1,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/rain-gardens,myjobquote
Sorin Marcu,,Wooden Decking,,,4,12,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/sorin-marcu,myjobquote
George Calin,,Wooden Decking,,,4.8,1,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/george-calin,myjobquote
ANG Property Services,,Wooden Decking,,,1,1,,ID Checked,,,2010,https://www.myjobquote.co.uk/t/ang-property-services,myjobquote
Richmond Landscaping,,Wooden Decking,,,2,1,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/richmond-landscaping,myjobquote
V&D CONSTRUCTION LTD,,Wooden Decking,,,2,1,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/vd-construction-ltd,myjobquote
Youngs property maintenance,,Wooden Decking,,,4.68,0,,ID Checked,,,1940,https://www.myjobquote.co.uk/t/youngs-property-maintenance-1,myjobquote
David Culver Urban Landscaping,,Wooden Decking,,,4.68,0,,ID Checked,,,Jul 2023,https://www.myjobquote.co.uk/t/david-culver-urban-landscaping,myjobquote
J Ahmetaj construction ltd,,Wooden Decking,,,4.68,0,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/j-ahmetaj-construction-ltd,myjobquote
J Ahmetaj construction ltd,,Wooden Decking,,,4.68,0,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/bud2buds,myjobquote
"Bgd- decking, fencing & sheds",,Wooden Decking,,,4.68,0,,,,,2019,https://www.myjobquote.co.uk/t/bgd-decking-fencing-sheds,myjobquote
Gardening by Claire,,Wooden Decking,,,4.68,0,,,,,Oct 2024,https://www.myjobquote.co.uk/t/gardening-by-claire,myjobquote
Dynamic Gardening,,Wooden Decking,,,4.68,0,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/dynamic-gardening,myjobquote
Dynamic Gardening,,Wooden Decking,,,4.68,0,,ID Checked,,,Sep 2022,https://www.myjobquote.co.uk/t/valar,myjobquote
Botangreenic gardener services,,Wooden Decking,,,4.68,0,,ID Checked,,,Apr 2024,https://www.myjobquote.co.uk/t/botangreenic-gardener-services,myjobquote
Botangreenic gardener services,,Wooden Decking,,,4.68,0,,,,,Mar 2023,https://www.myjobquote.co.uk/t/john-ade,myjobquote
John Ade,,Wooden Decking,,,4.68,0,,ID Checked,,,May 2025,https://www.myjobquote.co.uk/t/sammy-garden,myjobquote
Sammy Garden,,Wooden Decking,,,4.68,0,,ID Checked,,,Oct 2022,https://www.myjobquote.co.uk/t/valandi-garden-group-ltd,myjobquote
Valandi Garden Group LTD,,Wooden Decking,,,4.68,0,,ID Checked,,,Oct 2023,https://www.myjobquote.co.uk/t/garden-services-20,myjobquote
SB&DC construction LTD,,Wooden Decking,,,4.68,0,,ID Checked,,,2021,https://www.myjobquote.co.uk/t/sbdc-construction-ltd,myjobquote
TienM,,Wooden Decking,,,4.68,0,,ID Checked,,,Apr 2022,https://www.myjobquote.co.uk/t/tienm,myjobquote
TienM,,Wooden Decking,,,4.68,0,,ID Checked,,,May 2023,https://www.myjobquote.co.uk/t/cullen-landscape-and-garden-maintenance,myjobquote
Cristian VADUVA,,Wooden Decking,,,4.68,0,,ID Checked,,,2021,https://www.myjobquote.co.uk/t/cristian-vaduva,myjobquote
Green touch gardens,,Wooden Decking,,,4.68,0,,ID Checked,,,Jan 2022,https://www.myjobquote.co.uk/t/green-touch-gardens-1,myjobquote
D & N Professional Garden Services,,Wooden Decking,,,4.68,0,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/d-n-professional-garden-services,myjobquote
Florjan,,Wooden Decking,,,4.68,0,,ID Checked,,,Sep 2015,https://www.myjobquote.co.uk/t/florjan-2,myjobquote
Florjan,,Wooden Decking,,,4.68,0,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/property-response-247,myjobquote
Property response 247,,Wooden Decking,,,4.68,0,,ID Checked,,,Jul 2022,https://www.myjobquote.co.uk/t/jd4-home-solutions,myjobquote
Chris Gardens,,Wooden Decking,,,4.68,0,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/chris-gardens,myjobquote
GVM2024,,Wooden Decking,,,4.68,0,,ID Checked,,,Jun 2022,https://www.myjobquote.co.uk/t/gvm2024,myjobquote
Birzus,,Wooden Decking,,,4.68,0,,ID Checked,,,1993,https://www.myjobquote.co.uk/t/birzus,myjobquote
SS Gardens ltd,,Wooden Decking,,,4.68,0,,ID Checked,,,Sep 2023,https://www.myjobquote.co.uk/t/ss-gardens-ltd,myjobquote
Greenpath,,Wooden Decking,,,4.68,0,,,,,2024,https://www.myjobquote.co.uk/t/greenpath,myjobquote
Birchwood - landscaping and outdoor living,,Wooden Decking,,,4.68,0,,ID Checked,,,Jul 2024,https://www.myjobquote.co.uk/t/birchwood-landscaping-and-outdoor-living,myjobquote
E&T building Services,,Wooden Decking,,,4.68,0,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/et-building-services-1,myjobquote
Ismaila,,Wooden Decking,,,4.68,0,,ID Checked,,,Oct 2021,https://www.myjobquote.co.uk/t/ismaila,myjobquote
Ismaila,,Wooden Decking,,,4.68,0,,ID Checked,,,Jul 2024,https://www.myjobquote.co.uk/t/botanic-hardscapes,myjobquote
Botanic Hardscapes,,Wooden Decking,,,4.68,0,,ID Checked,,,Feb 2026,https://www.myjobquote.co.uk/t/the-brothers,myjobquote
THE Brothers,,Wooden Decking,,,4.68,0,,,,,2020,https://www.myjobquote.co.uk/t/pland,myjobquote
Abf construction ltd,,Wooden Decking,,,4.68,0,,ID Checked,,,Jan 2020,https://www.myjobquote.co.uk/t/abf-construction-ltd,myjobquote
Piter,,Wooden Decking,,,4.68,0,,ID Checked,,,Jan 2022,https://www.myjobquote.co.uk/t/piter-1,myjobquote
Piter,,Wooden Decking,,,4.68,0,,,,,May 2022,https://www.myjobquote.co.uk/t/3b-groundworks,myjobquote
Garden cleaner,,Wooden Decking,,,4.68,0,,,,,Apr 2023,https://www.myjobquote.co.uk/t/garden-cleaner,myjobquote
Garden cleaner,,Wooden Decking,,,4.68,0,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/uk-construction-renovation-limited,myjobquote
FY painters & renovators,,Wooden Decking,,,4.68,0,,ID Checked,,,2011,https://www.myjobquote.co.uk/t/fy-painters-renovators,myjobquote
Homehubsolutions,,Wooden Decking,,,4.68,0,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/homehubsolutions,myjobquote
Erandodulaj garden everything,,Wooden Decking,,,4.68,0,,,,,Nov 2025,https://www.myjobquote.co.uk/t/erandodulaj-garden-everything,myjobquote
Erandodulaj garden everything,,Wooden Decking,,,4.68,0,,ID Checked; Public Liability Insurance,,,2026,https://www.myjobquote.co.uk/t/london-ladies-in-green,myjobquote
