company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Stone carpets,,Flooring Specialist,,,5,13,,ID Checked; Public Liability Insurance,,,2018,https://www.myjobquote.co.uk/t/stone-carpets,myjobquote
Km carpet and flooring limited,,Flooring Specialist,,,5,7,,ID Checked,,,2015,https://www.myjobquote.co.uk/t/km-carpet-and-flooring-limited,myjobquote
Professional flooring,,Flooring Specialist,,,5,6,,ID Checked,,,Dec 2021,https://www.myjobquote.co.uk/t/professional-flooring,myjobquote
Jago Randles,,Flooring Specialist,,,4,3,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/jago-randles,myjobquote
Kaz Ahmad,,Flooring Specialist,,,5,2,,ID Checked,,,2025,https://www.myjobquote.co.uk/t/kaz-ahmad,myjobquote
Mills Hamilton flooring Ltd,,Flooring Specialist,,,5,1,,ID Checked,,,Jul 2025,https://www.myjobquote.co.uk/t/mills-hamilton-flooring-ltd,myjobquote
Flooring by Errol,,Flooring Specialist,,,5,14,,ID Checked,,,2019,https://www.myjobquote.co.uk/t/flooring-by-errol,myjobquote
Eugen Stramaturaru,,Flooring Specialist,,,5,12,,ID Checked,,,2014,https://www.myjobquote.co.uk/t/eugen-stramaturaru,myjobquote
Floors you like,,Flooring Specialist,,,5,10,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/floors-you-like,myjobquote
PGFlooring,,Flooring Specialist,,,5,4,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/pgflooring-1,myjobquote
Klajdi Muca,,Flooring Specialist,,,5,2,07418367611,ID Checked,,,2009,https://www.myjobquote.co.uk/t/klajdi-muca,myjobquote
Nazarii,,Flooring Specialist,,,5,1,,ID Checked,,,2022,https://www.myjobquote.co.uk/t/nazarii-8,myjobquote
Hnl refurbishments,,Flooring Specialist,,,5,44,,ID Checked,,,2016,https://www.myjobquote.co.uk/t/hnl-refurbishments,myjobquote
UAK flooring Ltd,,Flooring Specialist,,,5,4,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/uak-flooring-ltd,myjobquote
Sam’s Flooring,,Flooring Specialist,,,5,2,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/sams-flooring,myjobquote
Sunny flooring,,Flooring Specialist,,,5,1,,ID Checked,,,2021,https://www.myjobquote.co.uk/t/sunny-flooring,myjobquote
Lifestyle Trade Flooring,,Flooring Specialist,,,5,9,,ID Checked,,,1979,https://www.myjobquote.co.uk/t/lifestyle-trade-flooring,myjobquote
1066 Flooring & Building,,Flooring Specialist,,,5,8,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/1066-flooring-building-1,myjobquote
SM FLOORING,,Flooring Specialist,,,5,2,,ID Checked,,,2023,https://www.myjobquote.co.uk/t/sm-flooring-1,myjobquote
Greenwich Marine Solution,,Flooring Specialist,,,5,1,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/greenwich-marine-solution,myjobquote
Koldashi Construction LND,,Flooring Specialist,,,4.8,50,,ID Checked; Public Liability Insurance,,,2017,https://www.myjobquote.co.uk/t/koldashi-construction-lnd,myjobquote
Andrei buzdugan,,Flooring Specialist,,,5,14,,ID Checked,,,1900,https://www.myjobquote.co.uk/t/andrei-buzdugan,myjobquote
Mirjan,,Flooring Specialist,,,4,7,,ID Checked,,,Mar 2020,https://www.myjobquote.co.uk/t/mirjan-4,myjobquote
Jbfloors,,Flooring Specialist,,,5,1,,ID Checked,,,Nov 2023,https://www.myjobquote.co.uk/t/jbfloors,myjobquote
RightHandyMan,,Flooring Specialist,,,5,3,,ID Checked; Public Liability Insurance,,,2019,https://www.myjobquote.co.uk/t/righthandyman,myjobquote
Richard Handyman Services,,Flooring Specialist,,,5,2,,ID Checked,,,1990,https://www.myjobquote.co.uk/t/richard-handyman-services-1,myjobquote
"Cookson&#039;s Carpentry, Flooring & Kitchen Services",,Flooring Specialist,,,4,4,,ID Checked,,,Jul 2025,https://www.myjobquote.co.uk/t/cooksons-carpentry-flooring-kitchen-services,myjobquote
J WELLS Home improvements,,Flooring Specialist,,,5,7,,ID Checked,,,2018,https://www.myjobquote.co.uk/t/j-wells-home-improvements-1,myjobquote
Mario the Happy  Builder,,Flooring Specialist,,,4.8,17,07451279218,ID Checked,,,2006,https://www.myjobquote.co.uk/t/mario-the-happy-builder,myjobquote
H.S builder company,,Flooring Specialist,,,5,1,,ID Checked,,,Oct 2020,https://www.myjobquote.co.uk/t/hs-builder-company,myjobquote
Perfect Floor Specialist,,Flooring Specialist,,,5,1,,ID Checked,,,2009,https://www.myjobquote.co.uk/t/perfect-floor-specialist,myjobquote
