company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,member_since,profile_url,source_platform
Dooley Heating Plumbing Gas,,Power Showers Pump,,,5,39,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/dooley-heating-plumbing-gas,myjobquote
Super Plumb Ltd,,Power Showers Pump,,,5,81,07418318018,ID Checked,,,2017,https://www.myjobquote.co.uk/t/super-plumb-ltd,myjobquote
Royal Flush Plumbing,,Power Showers Pump,,,5,7,,ID Checked,,,2020,https://www.myjobquote.co.uk/t/royal-flush-plumbing,myjobquote
J K Love property maintenance,,Power Showers Pump,,,5,89,,ID Checked; Public Liability Insurance,,,2023,https://www.myjobquote.co.uk/t/j-k-love-property-maintenance,myjobquote
KP Plumbing,,Power Showers Pump,,,5,82,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/kp-plumbing,myjobquote
Fully Active Building Services Limited,,Power Showers Pump,,,5,63,,ID Checked,,,Jul 2018,https://www.myjobquote.co.uk/t/fully-active-building-services-limited,myjobquote
JP Plumbing & Construction Limited,,Power Showers Pump,,,5,45,07418317515,ID Checked,,,2003,https://www.myjobquote.co.uk/t/jp-plumbing-construction-limited,myjobquote
We fix houses ltd,,Power Showers Pump,,,5,19,,ID Checked,,,2017,https://www.myjobquote.co.uk/t/we-fix-houses-ltd,myjobquote
Kirk&#039;s Plumbing Services,,Power Showers Pump,,,5,11,,ID Checked,,,Nov 2024,https://www.myjobquote.co.uk/t/kirks-plumbing-services,myjobquote
PD PlumbinG.,,Power Showers Pump,,,5,11,,ID Checked; Public Liability Insurance,,,2023,https://www.myjobquote.co.uk/t/pd-plumbing,myjobquote
Elite Plan Builders,,Power Showers Pump,,,5,11,,ID Checked,,,2011,https://www.myjobquote.co.uk/t/elite-plan-builders,myjobquote
Proximus Plumbing and Heating LTD,,Power Showers Pump,,,5,10,,ID Checked,,,2024,https://www.myjobquote.co.uk/t/proximus-plumbing-and-heating-ltd,myjobquote
